ubigeo,mujer,no_seguro_salud,discapacitados,lengua_originaria,sin_nivel_educ,primaria,secundaria,superior_nouniv_incom,superior_nouniv_com,superior_univ_incom,superior_univ_com,posgrado,relig_catolica,relig_ninguna,relig_cristiana,edad_0_17_porc,edad_18_35_porc,edad_36_60_porc,edad_60_mas_porc,viv_agua_porc,viv_elec_proc,viv_desag_proc,nombredd,nombrepv,nombredi,D_pobreza,D_pobrezaex,D_gini,D_pob_crim,paltitud1,paltitud2,paltitud3,paltitud4,paltitud5,paltitud6,paltitud7,paltitud8,paltitud9,altitud,dept,prov,dist
100207,49.433022,9.3842106,6.5798092,42.575615,17.813028,41.406776,25.114988,0.87512481,1.0978862,0.51776701,0.98891711,0.093789794,56.212387,0.37008613,18.821243,0.37836021,0.21662191,0.24327961,0.1263441,34.667469,52.302139,22.539873,HUÁNUCO,AMBO,SAN RAFAEL,72.5,36.200001,0.30000001,12,0,0,0,1,0,0,0,0,0,4546,HUANUCO,AMBO,SAN RAFAEL
100208,50.447891,15.83869,9.0378399,8.0815287,10.259154,31.888929,28.545034,3.6273339,4.6567702,4.1172233,7.7137904,0.76728958,61.868446,1.6045082,14.564173,0.29627439,0.2312241,0.2800118,0.16321699,62.824013,54.570259,34.78854,HUÁNUCO,AMBO,TOMAY KICHWA,33.799999,9.6999998,0.40000001,6,0,0,1,0,0,0,0,0,0,3336,HUANUCO,AMBO,TOMAY KICHWA
100301,52.305061,11.10124,9.6844673,19.774778,5.9103694,29.311617,27.457573,4.4544554,9.6869192,2.3739767,8.6355162,0.78162229,64.391075,0.99538952,10.568038,0.36539039,0.228972,0.26741031,0.1035574,60.619469,56.194691,50.619469,HUÁNUCO,DOS DE MAYO,LA UNION,28.200001,5.6999998,0.30000001,19,0,0,0,1,0,0,0,0,0,4161,HUANUCO,DOS DE MAYO,LA UNION
100307,53.7486,3.2544479,4.3021908,66.348915,16.16737,42.25486,27.926067,0.59697694,1.3370479,0.44710436,1.4243691,0.08915934,61.577599,0.24136414,13.304688,0.39714631,0.1765755,0.24762189,0.14833529,34.436275,49.019611,18.259804,HUÁNUCO,DOS DE MAYO,CHUQUIS,60.5,24.6,0.30000001,2,0,0,0,1,0,0,0,0,0,4337,HUANUCO,DOS DE MAYO,CHUQUIS
100311,50.431648,7.7554731,9.4689817,78.728889,16.279634,43.099926,24.457644,0.55881596,1.1755706,0.53780133,0.89314866,0.12377593,38.894062,0.79412264,30.887329,0.45306051,0.2175552,0.2021181,0.092083998,22.411915,34.943699,13.22194,HUÁNUCO,DOS DE MAYO,MARIAS,79,46.200001,0.30000001,10,0,0,0,1,0,0,0,0,0,4443,HUANUCO,DOS DE MAYO,MARIAS
100313,49.85585,7.2440152,12.83892,41.274769,10.18415,43.969608,28.344217,1.7040319,2.9363129,0.91564327,1.5753385,0.1876923,48.132248,1.3854868,27.071121,0.37474501,0.1776377,0.25922489,0.1600222,39.818687,40.725239,16.178522,HUÁNUCO,DOS DE MAYO,PACHAS,34.599998,9,0.30000001,4,0,0,0,1,0,0,0,0,0,4332,HUANUCO,DOS DE MAYO,PACHAS
100316,49.460918,22.13332,17.48737,69.810249,10.190558,35.809002,32.6367,1.3080744,3.9695046,1.2975391,4.6040311,0.64535838,63.131618,3.3765895,11.962217,0.34039089,0.2247557,0.2565147,0.1416938,47.211895,38.661709,24.163568,HUÁNUCO,DOS DE MAYO,QUIVILLA,32.299999,8.6999998,0.30000001,1,0,0,0,1,0,0,0,0,0,4211,HUANUCO,DOS DE MAYO,QUIVILLA
100317,51.978611,9.154768,9.4241886,48.320675,9.8292704,35.232986,27.375301,3.4096484,7.9535379,1.3500019,3.0348775,0.4111231,52.302921,0.85174382,21.291733,0.39906019,0.21992479,0.2323308,0.1099624,38.416576,41.232731,29.11796,HUÁNUCO,DOS DE MAYO,RIPAN,55.5,17.4,0.30000001,9,0,0,0,1,0,0,0,0,0,4248,HUANUCO,DOS DE MAYO,RIPAN
100321,52.029572,7.4418349,13.33706,57.072197,14.372724,45.893326,27.635777,2.1838148,1.5925879,0.1184137,0.41699281,0,63.760262,1.4206669,12.673749,0.39386791,0.18455189,0.22700471,0.1521226,44.668587,45.38905,21.325649,HUÁNUCO,DOS DE MAYO,SHUNQUI,62,28.299999,0.30000001,6,0,0,0,0,1,0,0,0,0,3956,HUANUCO,DOS DE MAYO,SHUNQUI
100322,51.27594,4.0560379,13.25084,49.018536,15.49853,42.255802,26.276077,2.2611587,2.5360672,0.1641925,1.0422047,0.054280479,56.413036,0.1108566,19.559603,0.37872109,0.1482911,0.26626241,0.1791621,33.44371,30.13245,17.660044,HUÁNUCO,DOS DE MAYO,SILLAPATA,54.200001,18.799999,0.30000001,3,0,0,0,1,0,0,0,0,0,4019,HUANUCO,DOS DE MAYO,SILLAPATA
