,id_hdv,part_rec,party_memb,party_ocup,party_start,party_end
256,0-63-1,2,PARTIDO POLÍTICO PARTIDO MORADO ,MIEMBRO DEL COMITÉ EJECUTIVO NACIONAL ,2017 ,HASTA LA ACTUALIDAD
257,0-63-2,1, , , , 
258,0-63-3,1, , , , 
259,0-63-4,1, , , , 
260,0-63-5,1, , , , 
261,0-64-1,1,MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO INTEGRACION LORETANA ,PRESIDENTE FUNDADOR ,2013 ,2018 
262,0-64-1,2,MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO INTEGRACION LORETANA ,REPRESENTANTE LEGAL ,2013 ,HASTA LA ACTUALIDAD
263,0-64-2,1, , , , 
264,0-64-3,1, , , , 
265,0-64-4,1, , , , 
266,0-65-1,1, , , , 
267,0-65-2,1, , , , 
268,0-65-4,1, , , , 
269,0-65-5,1, , , , 
270,0-65-6,1, , , , 
271,0-65-7,1, , , , 
272,0-66-1,1,MOV. REGIONAL AYLLU ,SEC.REG.JUVENTUD ,2013 ,2019 
273,0-66-2,1, , , , 
274,0-66-3,1, , , , 
275,0-67-1,1,MOVIMIENTO REGIONAL O DEPARTAMENTAL CORAZON LIBRE ,SECRETARIO DE ORGANIZACION ,2017 ,2017 
276,0-67-2,1, , , , 
277,0-67-3,1,MOVIMIENTO REGIONAL O DEPARTAMENTAL CONVERGENCIA REGIONAL DESCENTRALISTA ,MIEMBRO DEL COMITE DEPARTAMENTAL ,2005 ,2015 
278,0-67-4,1, , , , 
279,0-68-1,1, , , , 
280,0-68-2,1, , , , 
281,0-68-3,1, , , , 
282,0-68-4,1, , , , 
283,0-69-1,1, , , , 
284,0-69-2,1,MOVIMIENTO REGIONAL O DEPARTAMENTAL ALIANZA RENACE AYACUCHO ,SECRETARIA DE LA MUJER ,2014 ,2019 
285,0-69-3,1, , , , 
286,0-69-4,1, , , , 
287,0-70-1,1,CAMBIO 90 ,SECRETARIO NACIONAL DE JUVENTUDES ,1990 ,1993 
288,0-70-1,2,PARTIDO POLÍTICO NUEVA MAYORIA ,SECRETARIO DE ORGANIZACIÓN - ANCASH ,1994 ,1996 
289,0-70-2,1, , , , 
290,0-70-3,1,PARTIDO POLÍTICO FUERZA POPULAR ,COORDINADOR REGIONAL ZONA COSTA - ANCASH ,2015 ,2016 
291,0-70-5,1, , , , 
292,0-71-1,1, , , , 
293,0-71-2,1,PARTIDO POLÍTICO PARTIDO APRISTA PERUANO ,SECRETARIO GENERAL ,2002 ,2010 
294,0-71-5,1, , , , 
295,0-72-1,1, , , , 
296,0-72-2,1, , , , 
297,0-72-3,1, , , , 
298,0-74-4,1, , , , 
299,0-75-1,1, , , , 
300,0-75-2,1, , , , 
301,0-75-3,1, , , , 
302,0-75-4,1, , , , 
303,0-75-5,1, , , , 
304,0-75-6,1, , , , 
305,0-76-2,1, , , , 
306,0-76-3,1, , , , 
307,0-76-5,1, , , , 
308,0-77-1,1, , , , 
309,0-77-2,1, , , , 
310,0-77-3,1, , , , 
311,0-78-1,1, , , , 
312,0-78-2,1, , , , 
313,0-78-3,1, , , , 
314,0-79-2,1,PARTIDO POLÍTICO ACCION POPULAR ,PERSONERA LEGAL TITULAR MOQUEGUA ,2018 ,2018 
315,0-79-2,2,PARTIDO POLÍTICO ACCION POPULAR ,SECRETARIA GENERAL DEPARTAMENTAL MOQUEGUA ,2017 ,2019 
316,0-79-3,1, , , , 
317,0-80-1,1, , , , 
318,0-80-3,1, , , , 
319,0-81-1,1, , , , 
320,0-81-2,1, , , , 
321,0-81-3,1, , , , 
322,0-81-4,1, , , , 
323,0-82-3,1, , , , 
324,0-83-2,1, , , , 
325,0-83-3,1, , , , 
326,0-83-5,1, , , , 
327,0-84-1,1, , , , 
328,0-84-2,1, , , , 
