,id_hdv,posi_rec,prev_pos_pres,prev_pos_vice1,prev_pos_vice2,prev_pos_co,prev_pos_par_an,prev_pos_gob,prev_pos_gob_vice,prev_pos_alc_prov,prev_pos_reg_prov,prev_pos_alc_dist,prev_pos_reg_dist,prev_pos_con_reg,prev_pos_acc,prev_pos_reg_cp,prev_pos_dip,prev_pos_sen,prev_pos_alc_cp,prev_org_pol,prev_start,prev_end
230,0-53-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
231,0-53-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
232,0-54-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
233,0-54-4,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
234,0-54-5,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
235,0-54-6,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
236,0-55-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
237,0-55-4,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
238,0-56-1,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,MOVIMIENTO REGIONAL O DEPARTAMENTAL FUERZA LORETANA ,2015 ,2018 
239,0-56-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
240,0-57-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
241,0-57-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
242,0-58-1,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,PARTIDO POLÍTICO PARTIDO RENACIMIENTO ANDINO ,2003 ,2006 
243,0-58-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
244,0-58-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
245,0-59-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
246,0-59-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
247,0-60-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
248,0-60-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
249,0-60-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
250,0-60-4,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
251,0-61-2,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,ALIANZA ELECTORAL ALIANZA PARA EL PROGRESO DEL PERU ,2018 ,2018 
252,0-61-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
253,0-61-4,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
254,0-62-1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO INTEGRACION DESCENTRALISTA ,2015 ,2018 
255,0-62-1,2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,VERDADERA MAYORÍA ,1996 ,1998 
256,0-63-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
257,0-63-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
258,0-63-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
259,0-63-4,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
260,0-63-5,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
261,0-64-1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO INTEGRACION LORETANA ,2015 ,2018 
262,0-64-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
263,0-64-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
264,0-64-4,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
265,0-65-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
266,0-65-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
267,0-65-4,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
268,0-65-5,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
269,0-65-6,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
270,0-65-7,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
271,0-66-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
272,0-66-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
273,0-66-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
274,0-67-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
275,0-67-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
276,0-67-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
